# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : Vitalisite
# Propriété : Vitalisite
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250817
Identifiant du pays,Utilisateurs actifs
CN,1
FR,8
US,14

# Date de début : 20250101
# Date de fin : 20250817
Pays,Utilisateurs actifs
US,14
FR,8
CN,1

#  
# Date de début : 20250101
# Date de fin : 20250817
Ville,Utilisateurs actifs
Paris,6
Boardman,3
Santa Clara,3
Forest City,2
New York,2
Quincy,1
Winder,1

#  
# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Durée d'engagement moyenne par utilisateur actif
0010,22.3
0011,16.4
0012,39.833333333333336

# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Sessions avec engagement par utilisateur actif
0010,0.6
0011,0.9
0012,0.6666666666666666

# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Durée d'engagement moyenne par session
0010,15.928571428571429
0011,5.655172413793103
0012,21.727272727272727

#  
# Date de début : 20250101
# Date de fin : 20250817
Nom de l'événement,Nombre d'événements
page_view,88
session_start,54
user_engagement,52
first_visit,24
scroll,24
click,3
form_start,2

#  
# Date de début : 20250101
# Date de fin : 20250817
Titre de la page et classe de l'écran,Vues
Vitaliste - Thème Wordpress,87
À propos du thème | Vitalisite - Vitaliste - Thème Wordpress,1

#  
# Date de début : 20250101
# Date de fin : 20250817
Nième jour,UAJ/UAM,UAJ/UAS,UAS/UAM
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,0,0,0
0051,0,0,0
0052,0,0,0
0053,0,0,0
0054,0,0,0
0055,0,0,0
0056,0,0,0
0057,0,0,0
0058,0,0,0
0059,0,0,0
0060,0,0,0
0061,0,0,0
0062,0,0,0
0063,0,0,0
0064,0,0,0
0065,0,0,0
0066,0,0,0
0067,0,0,0
0068,0,0,0
0069,1,1,1
0070,0,0,1
0071,0.6,0.6,1
0072,0,0,1
0073,0,0,1
0074,0.1,0.1,1
0075,0,0,1
0076,0.25,0.375,0.6666666666666666
0077,0,0,0.6666666666666666
0078,0.07692307692307693,0.25,0.3076923076923077
0079,0.3684210526315789,0.7,0.5263157894736842
0080,0,0,0.5263157894736842
0081,0,0,0.5263157894736842
0082,0,0,0.5263157894736842
0083,0.21739130434782608,0.4166666666666667,0.5217391304347826
0084,0.041666666666666664,0.07692307692307693,0.5416666666666666
0085,0,0,0.5
0086,0,0,0.25
0087,0,0,0.25
0088,0,0,0.25
0089,0,0,0.25
0090,0,0,0.041666666666666664
0091,0,0,0
0092,0,0,0
0093,0,0,0
0094,0,0,0
0095,0,0,0
0096,0,0,0
0097,0,0,0
0098,0,0,0
0099,0,0,0
0100,0,0,0
0101,0,0,0
0102,0,0,0
0103,0,0,0
0104,0,0,0
0105,0,0,0
0106,0,0,0
0107,0,0,0
0108,0,0,0
0109,0,0,0
0110,0,0,0
0111,0,0,0
0112,0,0,0
0113,0,0,0
0114,0,0,0
0115,0,0,0
0116,0,0,0
0117,0,0,0
0118,0,0,0
0119,0,0,0
0120,0,0,0
0121,0,0,0
0122,0,0,0
0123,0,0,0
0124,0,0,0
0125,0,0,0
0126,0,0,0
0127,0,0,0
0128,0,0,0
0129,0,0,0
0130,0,0,0
0131,0,0,0
0132,0,0,0
0133,0,0,0
0134,0,0,0
0135,0,0,0
0136,0,0,0
0137,0,0,0
0138,0,0,0
0139,0,0,0
0140,0,0,0
0141,0,0,0
0142,0,0,0
0143,0,0,0
0144,0,0,0
0145,0,0,0
0146,0,0,0
0147,0,0,0
0148,0,0,0
0149,0,0,0
0150,0,0,0
0151,0,0,0
0152,0,0,0
0153,0,0,0
0154,0,0,0
0155,0,0,0
0156,0,0,0
0157,0,0,0
0158,0,0,0
0159,0,0,0
0160,0,0,0
0161,0,0,0
0162,0,0,0
0163,0,0,0
0164,0,0,0
0165,0,0,0
0166,0,0,0
0167,0,0,0
0168,0,0,0
0169,0,0,0
0170,0,0,0
0171,0,0,0
0172,0,0,0
0173,0,0,0
0174,0,0,0
0175,0,0,0
0176,0,0,0
0177,0,0,0
0178,0,0,0
0179,0,0,0
0180,0,0,0
0181,0,0,0
0182,0,0,0
0183,0,0,0
0184,0,0,0
0185,0,0,0
0186,0,0,0
0187,0,0,0
0188,0,0,0
0189,0,0,0
0190,0,0,0
0191,0,0,0
0192,0,0,0
0193,0,0,0
0194,0,0,0
0195,0,0,0
0196,0,0,0
0197,0,0,0
0198,0,0,0
0199,0,0,0
0200,0,0,0
0201,0,0,0
0202,0,0,0
0203,0,0,0
0204,0,0,0
0205,0,0,0
0206,0,0,0
0207,0,0,0
0208,0,0,0
0209,0,0,0
0210,0,0,0
0211,0,0,0
0212,0,0,0
0213,0,0,0
0214,0,0,0
0215,0,0,0
0216,0,0,0
0217,0,0,0
0218,0,0,0
0219,0,0,0
