# ----------------------------------------
# Vue d'ensemble "Générer des prospects"
# Compte : Vitalisite
# Propriété : Vitalisite
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Nouveaux utilisateurs
0010,10
0011,9
0012,5

# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Utilisateurs connus
0010,1
0011,1
0012,1

# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Prospects qualifiés
0010,0
0011,0
0012,0

# Date de début : 20250101
# Date de fin : 20250817
Nième semaine,Prospects convertis
0010,0
0011,0
0012,0

#  
# Date de début : 20250101
# Date de fin : 20250817
Plate-forme,Événements clés


#  
# Date de début : 20250101
# Date de fin : 20250817
Groupe de canaux principal du premier utilisateur (Groupe de canaux par défaut),Nouveaux utilisateurs
Direct,20
Organic Social,3
Referral,1

# Arrivez-vous à fidéliser efficacement vos utilisateurs ?
# Date de début : 20250706
# Date de fin : 20250816
Date,Semaine 0,Semaine 1,Semaine 2,Semaine 3,Semaine 4,Semaine 5
6 juil. - 12 juil.,0,0,0,0,0,0
13 juil. - 19 juil.,0,0,0,0,0,-1
20 juil. - 26 juil.,0,0,0,0,-1,-1
27 juil. - 2 août,0,0,0,-1,-1,-1
3 août - 9 août,0,0,-1,-1,-1,-1
10 août - 16 août,0,-1,-1,-1,-1,-1

#  
# Date de début : 20250101
# Date de fin : 20250817
Nom de l'audience,Utilisateurs actifs
All Users,24

#  
# Date de début : 20250101
# Date de fin : 20250817
Ville,Utilisateurs actifs
Paris,6
Boardman,3
Santa Clara,3
Forest City,2
New York,2
Quincy,1
Winder,1

#  
# Date de début : 20250101
# Date de fin : 20250817
Source manuelle de la session,Sessions
checkout.stripe.com,15
google,7
l.instagram.com,4
buy.stripe.com,2
facebook.com,2
fl.vitalisite-wp.local:8890,2
vercel.com,1

#  
# Date de début : 20250101
# Date de fin : 20250817
Nième jour
